capacidad_maxima;valor;peso
7800;74905;203
;73688;247
;82089;513
;75103;713
;64607;553
;73792;476
;74734;413
;52537;698
;57230;471
;55588;152
;73614;754
;68944;390
;50967;773
;52890;599
;66519;148
;81950;184
;83912;479
;90252;232
;93881;627
;68120;270
;61011;343
;70075;191
;66633;525
;88752;683
;95011;292
;64829;320
;53176;207
;84440;132
;50210;501
;62874;480
;52474;491
;80979;200
;52246;287
;82122;129
;50321;101
;78341;260
;81546;197
;89573;149
;85762;701
;75355;118
;68296;429
;66201;439
;51160;202
;93332;453
;81393;218
;64621;198
;99908;694
;97032;710
;87228;106
;53719;144
